"","label","group","method","nseqs","coverage","chao","chao_lci","chao_hci","shannon","shannon_lci","shannon_hci","invsimpson","invsimpson_lci","invsimpson_hci","heip","accession","stage","turned","cultivar_type","retting_type","plant","treatment","experiment","rettingPeriod","replicate"
"1",0.03,"SRR7969085","ave",2084,0.991843,78.2,59.263264,140.533628,2.624736,2.573685,2.675787,9.1432,8.660557,9.682812,0.256018,"ERR2757325","early","FALSE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R0","na"
"2",0.03,"SRR7969086","ave",2084,0.977927,227.375,153.391976,400.171756,3.105767,3.050901,3.160633,14.248392,13.423451,15.181365,0.219859,"ERR2757326","early","FALSE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R1","na"
"3",0.03,"SRR7969087","ave",2084,0.984165,142.8,111.495041,219.696893,2.976628,2.916007,3.03725,11.112063,10.444953,11.870203,0.209231,"ERR2757327","early","FALSE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R2","na"
"4",0.03,"SRR7969088","ave",2084,0.979846,219,146.584654,395.0828,3.138027,3.079611,3.196443,13.434301,12.632209,14.345159,0.232193,"ERR2757328","early","FALSE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R3","na"
"5",0.03,"SRR7969089","ave",2084,0.978887,171.769231,131.931813,259.797737,3.154676,3.098145,3.211206,14.057734,13.186133,15.052716,0.229035,"ERR2757329","middle","FALSE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R4","na"
"6",0.03,"SRR7969090","ave",2084,0.970729,241.714286,175.199772,377.141515,3.006998,2.947268,3.066728,12.012342,11.306206,12.812558,0.174787,"ERR2757330","middle","TRUE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R5","na"
"7",0.03,"SRR7969091","ave",2084,0.991843,79,67.335637,116.164103,2.956006,2.90454,3.007473,12.478073,11.812108,13.223619,0.298706,"ERR2757331","late","TRUE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R6","na"
"8",0.03,"SRR7969092","ave",2084,0.982246,137.545455,102.715993,219.547559,2.593606,2.534621,2.652591,8.174873,7.737985,8.664047,0.162867,"ERR2757332","late","TRUE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R7","na"
"9",0.03,"SRR7969093","ave",2084,0.993762,65.666667,59.372262,88.66223,2.797585,2.741564,2.853606,9.220103,8.593439,9.945353,0.275089,"ERR2757333","late","TRUE","Cultivar Lorea","dew","flax","standard","PRJEB27872","R8","na"
"10",0.03,"SRR7969094","ave",2084,0.988004,107.5,83.685322,172.756074,3.222616,3.178826,3.266406,18.484492,17.551337,19.522445,0.349184,"ERR2179951","early","FALSE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R0","na"
"11",0.03,"SRR7969095","ave",2084,0.984645,125.428571,104.687836,175.457359,2.959138,2.894707,3.023569,9.56823,8.900054,10.344877,0.205408,"ERR2179952","early","FALSE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R1","na"
"12",0.03,"SRR7969096","ave",2084,0.987524,107.117647,95.359333,137.662713,2.794954,2.724768,2.865141,7.14119,6.617542,7.754831,0.176573,"ERR2179953","early","FALSE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R2","na"
"13",0.03,"SRR7969097","ave",2084,0.993282,71.111111,63.885436,96.431239,2.967012,2.91326,3.020764,11.589833,10.851987,12.435333,0.307229,"ERR2179954","middle","TRUE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R3","na"
"14",0.03,"SRR7969098","ave",2084,0.988964,95.3,79.117964,140.200978,2.743765,2.681889,2.80564,8.281643,7.756169,8.883492,0.210803,"ERR2179955","middle","TRUE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R4","na"
"15",0.03,"SRR7969099","ave",2084,0.980806,175.909091,135.746706,268.532938,3.330724,3.27398,3.387468,16.248463,15.117947,17.561725,0.259217,"ERR2179956","late","TRUE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R5","na"
"16",0.03,"SRR7969100","ave",2084,0.988484,106.2,69.811199,212.980105,1.689651,1.62602,1.753283,3.257926,3.09901,3.434022,0.088352,"ERR2179957","late","TRUE","Cultivar Lorea","dew","flax","early harvest","PRJEB20299","R6","na"
"17",0.03,"SRR7969101","ave",2084,0.986084,128.6,103.887331,191.753113,3.211022,3.159155,3.262889,16.671552,15.846169,17.587643,0.273614,"ERR2179958","early","FALSE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R0","na"
"18",0.03,"SRR7969102","ave",2084,0.991843,82.333333,74.572026,106.958427,2.972861,2.919216,3.026506,12.44716,11.768,13.209514,0.264968,"ERR2179959","early","FALSE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R1","na"
"19",0.03,"SRR7969103","ave",2084,0.982246,143.545455,108.715993,225.547559,2.541055,2.471932,2.610177,6.135285,5.754827,6.569609,0.142598,"ERR2179960","early","FALSE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R2","na"
"20",0.03,"SRR7969104","ave",2084,0.977447,170.5625,134.726897,246.874497,2.781719,2.71071,2.852728,7.290629,6.794527,7.864884,0.148498,"ERR2179961","middle","TRUE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R3","na"
"21",0.03,"SRR7969105","ave",2084,0.988004,112,79.661816,203.548296,2.722496,2.668689,2.776304,9.739804,9.226541,10.313535,0.233086,"ERR2179962","middle","TRUE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R4","na"
"22",0.03,"SRR7969106","ave",2084,0.991843,72.428571,59.057436,115.31504,2.782356,2.736024,2.828688,11.613584,11.072142,12.210704,0.291482,"ERR2179963","late","TRUE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R5","na"
"23",0.03,"SRR7969107","ave",2084,0.980326,174.111111,121.736962,297.297511,2.782786,2.726497,2.839076,10.383858,9.85359,10.974445,0.184927,"ERR2179964","late","TRUE","Cultivar Lorea","dew","flax","standard harvest","PRJEB20299","R6","na"
"24",0.03,"SRR7969108","ave",2084,0.985605,130.375,96.998222,216.804335,2.76863,2.710812,2.826449,9.344909,8.739016,10.041077,0.199157,"SRR3123514","early","na","unknown","water","flax","standard","PRJNA309354","R1","na"
"25",0.03,"SRR7969109","ave",2084,0.977927,259.5,157.271947,510.444224,3.125856,3.077152,3.174561,16.020712,15.175856,16.965181,0.253249,"SRR3123516","early","na","unknown","water","flax","standard","PRJNA309354","R2","na"
"26",0.03,"SRR7969110","ave",2084,0.995202,50,43.130414,79.020786,2.566597,2.520378,2.612815,9.161339,8.685222,9.692683,0.300536,"SRR3123517","middle","na","unknown","water","flax","standard","PRJNA309354","R3","na"
"27",0.03,"SRR7969111","ave",2084,0.975528,181.833333,145.308882,257.24088,3.010469,2.948499,3.072439,11.680961,11.012688,12.435577,0.175427,"SRR3123518","middle","na","unknown","water","flax","standard","PRJNA309354","R4","na"
"28",0.03,"SRR7969112","ave",2084,0.992322,77,66.577411,111.154422,2.716187,2.659529,2.772845,9.274868,8.77188,9.839048,0.231517,"SRR3123519","late","na","unknown","water","flax","standard","PRJNA309354","R5","na"
"29",0.03,"SRR7969113","ave",2084,0.976967,206.545455,150.433001,330.467597,3.160666,3.102243,3.219089,13.693572,12.822681,14.691382,0.219285,"SRR3123509","early","na","unknown","water","flax","inoculated","PRJNA309354","R1","na"
"30",0.03,"SRR7969114","ave",2084,0.986084,119,82.815823,215.200008,2.440637,2.38389,2.497384,6.936543,6.525295,7.403116,0.174672,"SRR3123510","early","na","unknown","water","flax","inoculated","PRJNA309354","R2","na"
"31",0.03,"SRR7969115","ave",2084,0.994722,58.166667,51.29218,85.658448,2.732133,2.682978,2.781288,10.373982,9.827566,10.984737,0.299284,"SRR3123511","middle","na","unknown","water","flax","inoculated","PRJNA309354","R3","na"
"32",0.03,"SRR7969116","ave",2084,0.979846,160.75,120.812996,250.822624,2.914218,2.854572,2.973863,10.22377,9.54433,11.007361,0.198118,"SRR3123512","middle","na","unknown","water","flax","inoculated","PRJNA309354","R4","na"
"33",0.03,"SRR7969117","ave",2084,0.974568,202.125,157.663577,294.033575,2.995306,2.924679,3.065933,9.090622,8.474366,9.803535,0.165143,"SRR3123513","late","na","unknown","water","flax","inoculated","PRJNA309354","R5","na"
"34",0.03,"SRR7969118","ave",2084,0.96833,261.894737,207.320647,367.53704,3.565941,3.502814,3.629068,18.11637,16.760384,19.711079,0.232248,"SRR7969180","early","FALSE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R1","rep1"
"35",0.03,"SRR7969119","ave",2084,0.981766,160.875,109.093012,286.947666,2.567181,2.510796,2.623565,8.363882,7.944689,8.829776,0.16707,"SRR7969181","early","FALSE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R2","rep1"
"36",0.03,"SRR7969120","ave",2084,0.974568,205.125,160.663577,297.033575,2.879262,2.805514,2.95301,7.703041,7.143237,8.358049,0.142382,"SRR7969178","early","FALSE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R3","rep1"
"37",0.03,"SRR7969121","ave",2084,0.979846,171.75,131.812996,261.822624,3.156632,3.099577,3.213686,14.619907,13.862883,15.464386,0.227185,"SRR7969179","middle","TRUE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R4","rep1"
"38",0.03,"SRR7969122","ave",2084,0.987044,121.1,99.412765,177.853542,3.214985,3.16255,3.26742,16.310982,15.465595,17.254134,0.281211,"SRR7969184","middle","TRUE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R5","rep1"
"39",0.03,"SRR7969123","ave",2084,0.984165,153.428571,107.363261,271.761497,2.840742,2.783243,2.898241,10.530717,9.971679,11.156159,0.209461,"SRR7969185","late","TRUE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R6","rep1"
"40",0.03,"SRR7969124","ave",2084,0.979367,167.461538,129.250782,252.393108,3.087623,3.02986,3.145387,13.176501,12.405031,14.050291,0.215721,"SRR7969182","early","FALSE","SS Alpha","dew","hemp","Soil Slurry","PRJNA494847","R1","rep2"
