"","comparison","ss_among","ss_within","ss_total","df_among","df_within","df_total","ms_among","ms_within","Fs","p_value","exp","class","matrixType"
"34","R5-R6",0.307551,13.1182,13.4257,1,52,53,0.307551,0.252272,1.21912," 0.262","PRJNA494847","rettingPeriod","thetayc"
"102","R5-R6",0.00421674,0.123871,0.128088,1,2,3,0.00421674,0.0619356,0.0680827," 1","PRJEB20299","rettingPeriod","thetayc"
"33","R4-R6",0.624338,12.4501,13.0745,1,52,53,0.624338,0.239426,2.60765," 0.029","PRJNA494847","rettingPeriod","thetayc"
"101","R4-R6",0.0259985,0.0117352,0.0377337,1,2,3,0.0259985,0.00586759,4.43086," 0.342","PRJEB20299","rettingPeriod","thetayc"
"32","R4-R5",0.327982,9.75083,10.0788,1,52,53,0.327982,0.187516,1.74909," 0.124","PRJNA494847","rettingPeriod","thetayc"
"100","R4-R5",0.0123765,0.125944,0.13832,1,2,3,0.0123765,0.0629718,0.19654," 1","PRJEB20299","rettingPeriod","thetayc"
"31","R3-R6",1.06429,11.3285,12.3928,1,52,53,1.06429,0.217856,4.88529," <0.001","PRJNA494847","rettingPeriod","thetayc"
"99","R3-R6",0.121242,0.0672598,0.188502,1,2,3,0.121242,0.0336299,3.6052," 0.339","PRJEB20299","rettingPeriod","thetayc"
"30","R3-R5",0.557461,8.62923,9.18669,1,52,53,0.557461,0.165947,3.35928," 0.014","PRJNA494847","rettingPeriod","thetayc"
"98","R3-R5",0.0927473,0.181468,0.274216,1,2,3,0.0927473,0.0907341,1.02219," 0.652","PRJEB20299","rettingPeriod","thetayc"
"29","R3-R4",0.137649,7.9612,8.09885,1,52,53,0.137649,0.1531,0.899082," 0.45","PRJNA494847","rettingPeriod","thetayc"
"97","R3-R4",0.0340099,0.0693323,0.103342,1,2,3,0.0340099,0.0346661,0.98107," 0.666","PRJEB20299","rettingPeriod","thetayc"
"28","R2-R6",0.648985,12.7055,13.3544,1,52,53,0.648985,0.244336,2.65612," 0.017","PRJNA494847","rettingPeriod","thetayc"
"96","R2-R6",0.578213,0.00883119,0.587044,1,2,3,0.578213,0.0044156,130.948," 0.297","PRJEB20299","rettingPeriod","thetayc"
"27","R2-R5",0.331436,10.0062,10.3376,1,52,53,0.331436,0.192426,1.72241," 0.12","PRJNA494847","rettingPeriod","thetayc"
"95","R2-R5",0.505947,0.12304,0.628987,1,2,3,0.505947,0.0615198,8.22413," 0.329","PRJEB20299","rettingPeriod","thetayc"
"26","R2-R4",0.0759808,9.33813,9.41411,1,52,53,0.0759808,0.179579,0.423104," 0.861","PRJNA494847","rettingPeriod","thetayc"
"94","R2-R4",0.439422,0.0109037,0.450326,1,2,3,0.439422,0.00545184,80.6007," 0.351","PRJEB20299","rettingPeriod","thetayc"
"25","R2-R3",0.146387,8.21653,8.36292,1,52,53,0.146387,0.15801,0.92644," 0.463","PRJNA494847","rettingPeriod","thetayc"
"93","R2-R3",0.198939,0.0664283,0.265368,1,2,3,0.198939,0.0332142,5.9896," 0.33","PRJEB20299","rettingPeriod","thetayc"
"24","R1-R6",0.946181,12.3942,13.3403,1,52,53,0.946181,0.238349,3.96973," 0.003","PRJNA494847","rettingPeriod","thetayc"
"92","R1-R6",0.583579,0.125524,0.709103,1,2,3,0.583579,0.0627618,9.29832," 0.354","PRJEB20299","rettingPeriod","thetayc"
"23","R1-R5",0.798208,9.69485,10.4931,1,52,53,0.798208,0.186439,4.28133," <0.001","PRJNA494847","rettingPeriod","thetayc"
"91","R1-R5",0.506731,0.239732,0.746463,1,2,3,0.506731,0.119866,4.22748," 0.341","PRJEB20299","rettingPeriod","thetayc"
"22","R1-R4",0.215508,9.02682,9.24233,1,52,53,0.215508,0.173593,1.24146," 0.232","PRJNA494847","rettingPeriod","thetayc"
"90","R1-R4",0.416672,0.127596,0.544268,1,2,3,0.416672,0.063798,6.5311," 0.328","PRJEB20299","rettingPeriod","thetayc"
"21","R1-R3",0.438521,7.90522,8.34374,1,52,53,0.438521,0.152023,2.88456," 0.012","PRJNA494847","rettingPeriod","thetayc"
"89","R1-R3",0.213659,0.183121,0.396779,1,2,3,0.213659,0.0915604,2.33353," 0.329","PRJEB20299","rettingPeriod","thetayc"
"19","R1-R2-R3-R4-R5-R6",2.29386,30.3615,32.6554,5,156,161,0.458772,0.194625,2.35721," 0.001","PRJNA494847","rettingPeriod","thetayc"
