genus,Substrate,name,seq.name,exp_ID,totalFunctionalAbun,relative_abun,cum_prop,stage,retting_type,rettingPeriod,treatment
Sphingomonas,Cellulose,Otu0001,ERR2179951,PRJEB20299,19066443,0.19445439409333262,0.19445439409333262,early,dew,R0,early harvest
Massilia,Cellulose,Otu0004,ERR2179951,PRJEB20299,14091420,0.14371524557646487,0.3381696396697975,early,dew,R0,early harvest
Oxalobacteraceae unclassified,Cellulose,Otu0004,ERR2179951,PRJEB20299,13856563,0.14131999148352378,0.47948963115332127,early,dew,R0,early harvest
Pseudomonas,Cellulose,Otu0002,ERR2179951,PRJEB20299,13844544,0.14119741238669864,0.6206870435400199,early,dew,R0,early harvest
Erwiniaceae unclassified,Cellulose,Otu0005,ERR2179951,PRJEB20299,5156000,0.05258489252270195,0.6732719360627218,early,dew,R0,early harvest
Pantoea,Cellulose,Otu0005,ERR2179951,PRJEB20299,4189250,0.04272522517469534,0.7159971612374172,early,dew,R0,early harvest
Rhizobiaceae unclassified,Cellulose,Otu0003,ERR2179951,PRJEB20299,3460204,0.03528984783681602,0.7512870090742332,early,dew,R0,early harvest
Enterobacterales unclassified,Cellulose,Otu0005,ERR2179951,PRJEB20299,3061375,0.031222279935354286,0.7825092890095875,early,dew,R0,early harvest
Pedobacter,Cellulose,Otu0009,ERR2179951,PRJEB20299,2504320,0.025541000396131296,0.8080502894057188,early,dew,R0,early harvest
Pedobacter,Cellulose,Otu0011,ERR2179951,PRJEB20299,2041039,0.020816100940582442,0.8288663903463013,early,dew,R0,early harvest
Massilia,Cellulose,Otu0020,ERR2179951,PRJEB20299,1694008,0.01727680927319575,0.846143199619497,early,dew,R0,early harvest
Sphingomonas,Cellulose,Otu0007,ERR2179951,PRJEB20299,1654848,0.01687742517870603,0.8630206247982031,early,dew,R0,early harvest
Pseudomonadaceae unclassified,Cellulose,Otu0002,ERR2179951,PRJEB20299,1483344,0.01512829418428914,0.8781489189824921,early,dew,R0,early harvest
Pseudomonas,Cellulose,Otu0017,ERR2179951,PRJEB20299,1364985,0.013921177176124967,0.8920700961586171,early,dew,R0,early harvest
Pseudomonas,Hemicellulose-Galactomannan,Otu0002,ERR2179951,PRJEB20299,6922272,0.2689275777182243,0.2689275777182243,early,dew,R0,early harvest
Erwiniaceae unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179951,PRJEB20299,2062400,0.08012343870423841,0.3490510164224627,early,dew,R0,early harvest
Massilia,Hemicellulose-Galactomannan,Otu0004,ERR2179951,PRJEB20299,2013060,0.078206598874105,0.4272576152965677,early,dew,R0,early harvest
Oxalobacteraceae unclassified,Hemicellulose-Galactomannan,Otu0004,ERR2179951,PRJEB20299,1979509,0.07690315555953658,0.5041607708561042,early,dew,R0,early harvest
Sphingomonas,Hemicellulose-Galactomannan,Otu0001,ERR2179951,PRJEB20299,1733313,0.06733853661305254,0.5714993074691568,early,dew,R0,early harvest
Rhizobiaceae unclassified,Hemicellulose-Galactomannan,Otu0003,ERR2179951,PRJEB20299,1730102,0.06721379051060913,0.6387130979797659,early,dew,R0,early harvest
Pantoea,Hemicellulose-Galactomannan,Otu0005,ERR2179951,PRJEB20299,1675700,0.0651002939471937,0.7038133919269597,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Galactomannan,Otu0009,ERR2179951,PRJEB20299,1252160,0.04864592950344218,0.7524593214304018,early,dew,R0,early harvest
Enterobacterales unclassified,Hemicellulose-Galactomannan,Otu0005,ERR2179951,PRJEB20299,1224550,0.04757329173064155,0.8000326131610433,early,dew,R0,early harvest
Pedobacter,Hemicellulose-Galactomannan,Otu0011,ERR2179951,PRJEB20299,742196,0.02883402623765076,0.8288666393986941,early,dew,R0,early harvest
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0002,ERR2179951,PRJEB20299,741672,0.02881366904123832,0.8576803084399325,early,dew,R0,early harvest
Comamonadaceae unclassified,Hemicellulose-Galactomannan,Otu0029,ERR2179951,PRJEB20299,517266,0.020095583128775494,0.87777589156870794,early,dew,R0,early harvest
Flavobacterium,Hemicellulose-Galactomannan,Otu0010,ERR2179951,PRJEB20299,403182,0.01566346405336125,0.8934393556220692,early,dew,R0,early harvest
Sphingomonas,Hemicellulose-Xylan,Otu0001,ERR2179951,PRJEB20299,29466321,0.21895548084087355,0.21895548084087357,early,dew,R0,early harvest
Massilia,Hemicellulose-Xylan,Otu0004,ERR2179951,PRJEB20299,16104480,0.1196676083889886,0.3386230892298622,early,dew,R0,early harvest
Oxalobacteraceae unclassified,Hemicellulose-Xylan,Otu0004,ERR2179951,PRJEB20299,15836072,0.11767314824917212,0.4562962374790343,early,dew,R0,early harvest
Pseudomonas,Hemicellulose-Xylan,Otu0002,ERR2179951,PRJEB20299,13844544,0.10287469509826594,0.5591709325773002,early,dew,R0,early harvest
Erwiniaceae unclassified,Hemicellulose-Xylan,Otu0005,ERR2179951,PRJEB20299,9280800,0.06896286871333476,0.628133801290635,early,dew,R0,early harvest
Pantoea,Hemicellulose-Xylan,Otu0005,ERR2179951,PRJEB20299,7540650,0.0560323308295845,0.6841661321202196,early,dew,R0,early harvest
