"","OTU","X","LogMeanMax","Class","LDA","pValue","exp","testingGroup","genus","experiment"
"1","Otu0001",71756,5.31891,"FALSE",4.7046,0.0388671,"PRJEB20299","turned","Sphingomonas(95)","PRJEB20299"
"2","Otu0001",75122,5.31899,"FALSE",4.80546,0.0388824,"PRJEB20299","turned","Sphingomonas(95)","PRJEB20299"
"3","Otu0002",71757,5.29016,"FALSE",4.8996,0.00298491,"PRJEB20299","turned","Pseudomonas(100)","PRJEB20299"
"4","Otu0002",75123,5.29179,"FALSE",4.87484,0.00194577,"PRJEB20299","turned","Pseudomonas(100)","PRJEB20299"
"5","Otu0002",90621,5.29179,"early",4.98275,0.00329851,"PRJEB20299","stage","Pseudomonas(100)","PRJEB20299"
"6","Otu0002",87255,5.29016,"early",4.95531,0.00433742,"PRJEB20299","stage","Pseudomonas(100)","PRJEB20299"
"7","Otu0003",71758,4.97977,"TRUE",4.43444,0.0045087,"PRJEB20299","turned","Rhizobiaceae_unclassified(100)","PRJEB20299"
"8","Otu0003",75124,4.98007,"TRUE",4.42516,0.00451036,"PRJEB20299","turned","Rhizobiaceae_unclassified(100)","PRJEB20299"
"9","Otu0003",90622,5.06922,"late",4.57493,0.00556935,"PRJEB20299","stage","Rhizobiaceae_unclassified(100)","PRJEB20299"
"10","Otu0003",87256,5.06951,"late",4.56944,0.00556935,"PRJEB20299","stage","Rhizobiaceae_unclassified(100)","PRJEB20299"
"11","Otu0005",71760,4.90816,"FALSE",4.50895,0.00670628,"PRJEB20299","turned","Erwiniaceae_unclassified(85)","PRJEB20299"
"12","Otu0005",87258,4.90816,"early",4.579,0.00903054,"PRJEB20299","stage","Erwiniaceae_unclassified(85)","PRJEB20299"
"13","Otu0005",75126,4.90614,"FALSE",4.44841,0.00670628,"PRJEB20299","turned","Erwiniaceae_unclassified(85)","PRJEB20299"
"14","Otu0005",90624,4.90614,"early",4.61512,0.00903054,"PRJEB20299","stage","Erwiniaceae_unclassified(85)","PRJEB20299"
"15","Otu0006",71761,4.67236,"TRUE",4.1763,0.0281858,"PRJEB20299","turned","Chryseobacterium(98)","PRJEB20299"
"16","Otu0006",75127,4.67156,"TRUE",4.20755,0.0281967,"PRJEB20299","turned","Chryseobacterium(98)","PRJEB20299"
"17","Otu0008",90627,4.64471,"late",4.25123,0.00811302,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"18","Otu0008",87261,4.64112,"late",4.22819,0.00777266,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"19","Otu0008",75129,4.62094,"TRUE",4.21426,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"20","Otu0008",71763,4.61644,"TRUE",4.2092,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"21","Otu0009",87262,4.61741,"late",4.19927,0.00723683,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"22","Otu0009",75130,4.57001,"TRUE",4.12395,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"23","Otu0009",90628,4.61905,"late",4.17161,0.00723683,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"24","Otu0009",71764,4.56902,"TRUE",4.13129,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"25","Otu0010",90629,4.60377,"middle",4.15979,0.00777266,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"26","Otu0010",75131,4.57142,"TRUE",4.09975,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"27","Otu0010",71765,4.56731,"TRUE",4.08889,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"28","Otu0010",87263,4.59748,"middle",4.14516,0.00777266,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"29","Otu0011",90630,4.62103,"late",4.26861,0.00822975,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"30","Otu0011",71766,4.60869,"TRUE",4.24115,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"31","Otu0011",75132,4.60917,"TRUE",4.25042,0.00194577,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"32","Otu0011",87264,4.61907,"late",4.25022,0.00822975,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"33","Otu0012",90631,4.68296,"late",4.37806,0.025259,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"34","Otu0012",75133,4.60556,"TRUE",4.27342,0.00670628,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"35","Otu0012",71767,4.6059,"TRUE",4.22204,0.00670628,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
