"","experiment","estimator","group","filter1","filter2","filter3","alternative","pVal"
"1","PRJEB27872","chao","stage","middle","late","na","greater",1
"2","PRJEB27872","shannon","stage","middle","late","na","greater",1
"3","PRJNA494847","shannon","stage","middle","late","Soil Slurry","greater",0.962167138734644
"4","PRJNA309354","invsimpson","stage","middle","late","na","greater",0.933333333333333
"5","PRJNA494847","invsimpson","stage","middle","late","Soil Slurry","greater",0.903213369391859
"6","PRJEB27872","invsimpson","stage","middle","late","na","greater",0.9
"7","PRJNA309354","chao","stage","middle","late","na","less",0.866666666666667
"8","PRJNA309354","heip","stage","middle","late","na","greater",0.866666666666667
"9","PRJEB20299","invsimpson","stage","middle","late","na","less",0.828571428571429
"10","PRJEB20299","chao","stage","middle","late","na","less",0.828571428571429
"11","PRJNA494847","chao","stage","middle","late","Soil Slurry","greater",0.825914771727129
"12","PRJNA494847","chao","stage","middle","late","Low Moisture","greater",0.812431870189307
"13","PRJEB27872","heip","stage","middle","late","na","less",0.8
"14","PRJEB20299","shannon","stage","middle","late","na","less",0.757142857142857
"15","PRJNA494847","shannon","stage","middle","late","Low Moisture","greater",0.752615043232892
"16","PRJNA494847","heip","stage","middle","late","Low Moisture","less",0.666067540392483
"17","PRJEB20299","heip","stage","middle","late","na","greater",0.657142857142857
"18","PRJNA494847","heip","stage","middle","late","Soil Slurry","greater",0.647472222666731
"19","PRJNA494847","chao","stage","middle","late","High Moisture","less",0.60928304342492
"20","PRJNA309354","shannon","stage","middle","late","na","less",0.6
"21","PRJNA494847","invsimpson","stage","middle","late","Low Moisture","greater",0.570052860945309
"22","PRJNA494847","invsimpson","stage","middle","late","High Moisture","less",0.570052860945309
"23","PRJEB27872","heip","turned","na","na","na","less",0.547619047619048
"24","PRJEB20299","heip","stage","early","middle","na","greater",0.542857142857143
"25","PRJNA494847","heip","stage","middle","late","High Moisture","less",0.510055527996031
"26","PRJNA494847","shannon","stage","middle","late","High Moisture","greater",0.510055527996031
"27","PRJNA309354","shannon","treatment","na","na","na","greater",0.5
"28","PRJNA494847","shannon","stage","early","middle","Low Moisture","less",0.477151605600719
"29","PRJEB20299","chao","turned","na","na","na","greater",0.474858474858475
"30","PRJNA494847","heip","stage","early","late","Soil Slurry","less",0.471407040417542
"31","PRJEB20299","chao","stage","early","late","na","less",0.457142857142857
"32","PRJEB20299","heip","treatment","na","na","na","greater",0.450757575757576
"33","PRJNA309354","invsimpson","stage","early","middle","na","greater",0.442857142857143
"34","PRJEB20299","heip","turned","na","na","na","greater",0.425907425907426
"35","PRJNA309354","chao","treatment","na","na","na","greater",0.420634920634921
"36","PRJEB20299","invsimpson","treatment","na","na","na","less",0.402389277389277
"37","PRJEB27872","invsimpson","stage","early","middle","na","less",0.4
"38","PRJNA309354","shannon","stage","early","late","na","greater",0.4
"39","PRJNA309354","heip","stage","early","late","na","greater",0.4
"40","PRJNA494847","invsimpson","treatment","Soil Slurry","Low Moisture","na","less",0.38990261542796
"41","PRJNA494847","chao","stage","early","late","Low Moisture","greater",0.387030587844401
"42","PRJEB20299","invsimpson","stage","early","middle","na","greater",0.380952380952381
"43","PRJEB20299","invsimpson","stage","early","late","na","greater",0.380952380952381
"44","PRJEB20299","chao","stage","early","middle","na","greater",0.380952380952381
"45","PRJEB20299","heip","stage","early","late","na","greater",0.380952380952381
"46","PRJNA494847","shannon","turned","Soil Slurry","na","na","less",0.372199755394133
"47","PRJNA494847","invsimpson","treatment","Soil Slurry","High Moisture","na","greater",0.371180444353518
"48","PRJNA494847","chao","stage","early","middle","Soil Slurry","greater",0.369760491496944
"49","PRJNA494847","chao","turned","Low Moisture","na","na","less",0.365722702993479
"50","PRJNA494847","heip","stage","early","late","High Moisture","less",0.359822368627904
"51","PRJNA309354","invsimpson","treatment","na","na","na","less",0.345238095238095
"52","PRJNA309354","shannon","stage","early","middle","na","greater",0.342857142857143
"53","PRJNA309354","heip","stage","early","middle","na","less",0.342857142857143
"54","PRJNA494847","shannon","treatment","High Moisture","Low Moisture","na","greater",0.341414233844102
"55","PRJNA494847","heip","stage","early","middle","High Moisture","less",0.335668909486323
"56","PRJEB20299","invsimpson","turned","na","na","na","greater",0.331002331002331
"57","PRJEB27872","heip","stage","early","late","na","less",0.314285714285714
"58","PRJNA494847","heip","turned","High Moisture","na","na","less",0.309303507409791
"59","PRJNA494847","heip","stage","early","late","Low Moisture","greater",0.307523394128609
"60","PRJNA494847","shannon","turned","Low Moisture","na","na","greater",0.297289955427865
"61","PRJNA494847","invsimpson","stage","early","late","Soil Slurry","greater",0.282648299485635
"62","PRJEB27872","chao","turned","na","na","na","greater",0.277777777777778
"63","PRJNA494847","invsimpson","treatment","High Moisture","Low Moisture","na","greater",0.272513371329145
"64","PRJEB27872","chao","stage","early","middle","na","less",0.266666666666667
"65","PRJEB27872","shannon","stage","early","middle","na","less",0.266666666666667
"66","PRJEB27872","heip","stage","early","middle","na","greater",0.266666666666667
